project_id,label,href,sort_order
proj_augmented_journeys,"Paper (ACM)",https://dl.acm.org/doi/10.1145/3706598.3714323,1
proj_augmented_journeys,PDF,https://dl.acm.org/doi/pdf/10.1145/3706598.3714323,2
proj_blending_worlds,"Paper (ACM)",https://dl.acm.org/doi/10.1145/3706598.3713185,1
proj_blending_worlds,PDF,https://dl.acm.org/doi/pdf/10.1145/3706598.3713185,2
proj_ar_selection,"Paper (ACM)",https://dl.acm.org/doi/10.1145/3580585.3607152,1
proj_ar_selection,PDF,https://dl.acm.org/doi/pdf/10.1145/3580585.3607152,2
proj_visual_slam,"Paper (DNB)",https://d-nb.info/1234388847/34,1
proj_virgos_missions,GitHub,https://github.com/SchrammR/ViRGOS_Missions,1
proj_ar_drive,"LinkedIn Post",https://www.linkedin.com/posts/robinschramm_augmentedreality-innovation-arglasses-activity-7267124670326353920-LVqL?utm_source=share&utm_medium=member_desktop&rcm=ACoAACR7zx8BO0_nRVcs8CTxr00TsbJLxBD9mow,1
proj_ar_drive,"Youtube Video",https://www.youtube.com/watch?v=7iJ5cR7irQ4,2
proj_bachelor_thesis,"Thesis (PDF)",https://github.com/SchrammR/Student_Projects/blob/main/Theses/Bachelorthesis_Vergleich%20von%20Inverse%20Kinematics%20und%20Motion%20Tracking%20im%20Zuge%20einer%20VR%20Anwendung.pdf,1
proj_master_thesis,"Thesis (PDF)",https://github.com/SchrammR/Student_Projects/blob/main/Theses/Masterthesis_Entwicklung_und_Simulation_eines_LT-SLAM_Systems.pdf,1
proj_trading_cards,"Documentation (German)",https://github.com/SchrammR/Student_Projects/blob/main/University%20Projects/Magic%20The%20Gathering%20Kartendetektor%20durch%20Feature%20Matching%20in%20OpenCv.pdf,1
